,Molecular Weight,Polar Surface Area,Number of Rings,Number of Rings,Number of Valence Electrons,Number of Aromatic Atoms,Number of Conjugated Bonds,measured log solubility in mols per litre
561,308.3330000000001,67.50999999999999,3,3,116,16,2,-3.893
562,214.264,40.46,2,2,82,12,0,-1.93
563,194.18599999999995,52.60000000000001,1,1,74,6,6,-1.66
564,172.26799999999997,26.3,0,0,72,0,2,-3.39
565,122.258,0.0,0,0,38,0,0,-2.42
566,118.176,18.46,0,0,50,0,0,-0.77
567,215.894,0.0,1,1,54,6,0,-5.56
568,184.242,52.04,2,2,70,12,3,-2.7
569,98.189,0.0,0,0,42,0,0,-3.73
570,209.293,57.78,1,1,84,6,2,-3.028
571,226.27599999999995,75.27000000000001,1,1,90,0,3,-2.39
572,127.574,26.02,1,1,42,6,1,-1.52
573,142.58499999999998,9.23,1,1,48,6,1,-2.78
574,203.351,20.31,0,0,78,0,2,-3.53
575,102.13299999999998,26.3,0,0,42,0,2,-1.37
576,360.4500000000002,94.83,4,4,142,0,1,-3.18
577,163.82899999999998,0.0,0,0,26,0,0,-1.54
578,300.3980000000001,51.21,4,4,118,0,1,-3.48
580,122.12299999999998,37.3,1,1,46,6,3,-0.96
581,94.939,0.0,0,0,14,0,0,-0.79
582,379.381,80.31,2,2,130,12,1,-3.8
583,342.7780000000001,67.50999999999999,3,3,122,16,2,-5.839
584,156.22799999999998,0.0,2,2,60,10,0,-4.29
585,125.131,71.77000000000001,1,1,48,6,2,-1.4580000000000002
586,326.437,0.0,2,2,88,12,1,-7.92
587,323.133,29.1,2,2,80,12,4,-4.21
589,175.0,0.0,1,1,42,6,0,-2.7
590,163.003,20.23,1,1,48,6,1,-1.55
591,391.2940000000001,35.53,3,3,136,12,4,-6.291
592,331.353,99.6,3,3,118,12,5,-4.16
593,338.36300000000006,75.71,3,3,128,12,4,-4.907
595,107.156,26.02,1,1,42,6,1,-2.21
596,148.205,9.23,1,1,58,6,1,-2.92
597,279.34,70.67,1,1,110,6,8,-2.93
598,70.135,0.0,0,0,30,0,0,-2.73
599,95.101,33.120000000000005,1,1,36,6,1,1.02
600,30.07,0.0,0,0,14,0,0,-1.36
601,147.00399999999996,0.0,1,1,42,6,0,-3.05
602,167.25799999999998,12.89,2,2,50,9,0,-3.18
603,498.66200000000026,0.0,2,2,118,12,1,-11.6
604,216.19199999999995,52.58,3,3,80,13,2,-3.664
605,59.068,43.09,0,0,24,0,2,1.58
606,142.201,0.0,2,2,54,10,0,-3.7
607,271.36,29.540000000000003,2,2,106,10,3,-3.57
608,102.177,20.23,0,0,44,0,0,-0.62
609,116.15999999999998,26.3,0,0,48,0,2,-1.36
610,172.18299999999996,34.14,2,2,64,6,2,-3.03
611,178.23399999999998,0.0,3,3,66,14,0,-5.26
612,107.156,12.89,1,1,42,6,0,0.38
613,144.258,20.23,0,0,62,0,0,-3.01
614,173.83499999999998,0.0,0,0,20,0,0,-1.17
615,392.4670000000002,94.83,4,4,154,0,1,-3.59
616,156.228,0.0,2,2,60,10,0,-4.89
617,217.378,20.31,0,0,84,0,2,-3.68
619,138.126,69.16,1,1,52,6,4,-2.19
620,92.569,0.0,0,0,32,0,0,-2.03
621,430.9340000000001,64.68,1,1,124,0,4,-4.19
622,329.321,22.0,3,3,122,18,3,-4.445
623,243.309,26.02,4,4,90,18,1,-6.2
624,270.372,37.3,4,4,106,6,1,-3.955
625,269.373,19.37,3,3,96,12,1,-4.706
626,58.08,12.53,1,1,24,0,0,-0.59
627,281.271,84.6,3,3,104,12,5,-3.796
628,132.232,24.06,0,0,48,0,3,-1.46
629,197.448,20.23,1,1,54,6,1,-2.67
630,116.15999999999998,26.3,0,0,48,0,2,-1.34
631,93.129,26.02,1,1,36,6,1,-0.41
632,156.228,0.0,2,2,60,10,0,-4.678999999999999
633,297.745,118.36,2,2,94,6,0,-2.63
635,144.21399999999997,26.3,0,0,60,0,2,-1.28
636,211.269,71.96000000000001,1,1,84,6,3,-2.084
638,108.966,0.0,0,0,20,0,0,-1.09
639,82.14599999999999,0.0,0,0,34,0,0,-1.99
641,70.13499999999999,0.0,0,0,30,0,0,-2.73
642,145.16099999999997,33.120000000000005,2,2,54,10,1,-2.42
643,132.20599999999996,0.0,2,2,52,6,0,-4.37
644,318.32800000000003,66.76,4,4,118,18,3,-2.9
645,314.802,0.0,1,1,48,6,0,-5.6
646,321.549,27.69,1,1,90,6,1,-5.72
647,142.18300000000002,48.65,1,1,48,6,2,-2.436
648,164.204,29.46,1,1,64,6,2,-1.56
649,210.233,75.27000000000001,1,1,82,0,3,-1.7080000000000002
651,118.176,18.46,0,0,50,0,0,-0.43
652,239.702,29.54,2,2,86,6,1,-2.338
653,118.176,29.46,0,0,50,0,0,-0.42
654,295.336,43.14,1,1,76,6,3,-5.82
655,290.447,37.3,4,4,118,0,0,-4.402
656,312.118,20.31,2,2,104,6,2,-4.047
657,129.16199999999998,12.89,2,2,48,10,0,-1.3
658,184.147,86.99000000000001,1,1,70,6,6,-1.24
659,306.276,81.64999999999999,3,3,114,16,0,-1.8
660,169.567,46.0,2,2,56,9,1,-2.8310000000000004
661,395.3270000000001,0.0,2,2,100,12,1,-7.92
662,142.07,92.34,1,1,52,0,4,-1.25
663,112.987,0.0,0,0,32,0,0,-1.62
664,175.0,0.0,1,1,42,6,0,-2.67
665,191.455,0.0,1,1,42,6,0,-3.63
666,86.178,0.0,0,0,38,0,0,-3.65
667,56.108,0.0,0,0,24,0,0,-1.94
668,360.88200000000006,0.0,2,2,94,12,1,-7.68
669,111.104,71.77000000000001,1,1,42,6,2,-1.155
670,187.37500000000003,0.0,0,0,50,0,0,-3.04
671,55.07999999999999,23.79,0,0,22,0,0,0.28
672,320.04600000000005,0.0,2,2,94,12,0,-6.51
673,153.13699999999997,52.37,1,1,58,6,4,-1.96
674,288.43100000000004,37.3,4,4,116,0,0,-4.12
675,284.142,37.38,3,3,94,6,3,-4.8
677,240.21499999999995,106.51000000000002,1,1,92,6,7,-3.38
678,196.202,44.760000000000005,2,2,76,0,3,-1.899
679,92.094,60.69,0,0,38,0,0,1.12
680,124.13899999999995,29.46,1,1,48,6,2,-1.96
681,350.591,40.58,1,1,102,6,1,-5.67
682,192.261,0.0,3,3,72,14,0,-5.89
683,188.23,26.93,2,2,72,11,2,0.715
684,88.14999999999999,9.23,0,0,38,0,0,-0.99
685,146.153,51.56,2,2,54,10,0,-0.8540000000000001
686,201.661,62.73,1,1,72,6,2,-4.55
687,87.12199999999999,20.31,0,0,36,0,2,1.11
688,213.31,45.150000000000006,1,1,78,6,2,-2.676
689,28.053999999999995,0.0,0,0,12,0,0,-0.4
690,102.177,20.23,0,0,44,0,0,-0.5
691,196.206,75.27000000000001,1,1,76,0,3,-1.614
692,197.448,20.23,1,1,54,6,1,-2.67
693,108.13999999999996,9.23,1,1,42,6,1,-1.85
694,339.21800000000013,46.53,2,2,116,12,2,-4.53
695,360.4500000000001,91.67000000000002,4,4,142,0,1,-3.85
696,286.331,50.8,2,2,110,12,7,-4.16
697,120.19499999999996,0.0,1,1,48,6,0,-3.11
698,118.245,0.0,0,0,44,0,0,-2.24
699,168.10799999999995,86.28,1,1,62,6,6,-2.29
701,198.222,75.27000000000001,1,1,78,0,3,-2.21
702,402.48700000000025,97.74,4,4,158,0,3,-4.21
703,171.15599999999998,81.19,1,1,66,5,3,-1.22
704,127.574,26.02,1,1,42,6,1,-1.66
705,116.20399999999998,20.23,0,0,50,0,0,-1.52
707,271.39,71.96000000000001,1,1,102,6,2,-2.928
708,222.33199999999997,32.34,3,3,90,0,3,-3.1710000000000003
709,134.22199999999998,0.0,1,1,54,6,0,-3.66
710,322.36400000000003,57.690000000000005,3,3,122,12,4,-3.27
711,402.48700000000014,100.90000000000002,4,4,158,0,3,-4.37
712,74.12299999999999,9.23,0,0,32,0,0,-0.39
713,102.133,26.3,0,0,42,0,2,-0.55
714,157.01,0.0,1,1,36,6,0,-2.55
715,166.176,46.53,1,1,64,6,4,-2.35
716,352.39000000000004,75.71,3,3,134,12,4,-5.071000000000001
717,344.4950000000001,43.370000000000005,4,4,138,0,3,-5.37
719,136.114,74.43,2,2,50,9,1,-2.266
720,62.499,0.0,0,0,18,0,0,-1.75
721,239.318,20.31,2,2,92,12,2,-2.98
722,331.62699999999995,0.0,0,0,32,0,0,-3.14
723,296.374,48.47,3,3,114,12,2,-4.871
724,147.13299999999998,46.17,2,2,54,6,2,-2.61
725,331.202,46.010000000000005,3,3,110,18,0,-4.38
726,136.14999999999998,26.3,1,1,52,6,3,-1.85
727,126.115,54.86,1,1,48,6,2,-0.807
728,324.38000000000005,60.85000000000001,3,3,124,12,5,-3.73
729,291.9920000000001,0.0,2,2,82,12,1,-6.47
730,289.7440000000001,101.29,2,2,98,6,1,-3.29
731,233.098,32.34,1,1,76,6,4,-3.8
734,128.259,0.0,0,0,56,0,0,-5.88
735,128.558,20.23,1,1,42,6,1,-1.06
736,242.321,0.0,4,4,90,18,0,-6.59
737,122.16699999999996,9.23,1,1,48,6,1,-2.33
738,176.215,26.3,1,1,68,6,5,-3.0
739,216.668,54.86,1,1,78,6,2,-2.484
740,315.716,84.6,3,3,110,12,5,-3.499
741,171.22099999999998,60.16,1,1,60,6,0,-1.74
742,223.659,38.33,1,1,78,6,4,-2.617
743,114.232,0.0,0,0,50,0,0,-5.08
744,449.8560000000001,59.32000000000001,3,3,162,12,4,-8.176
745,300.3620000000001,56.220000000000006,3,3,116,6,3,-3.5380000000000003
746,284.74600000000004,32.67,3,3,100,12,2,-3.754
747,102.177,20.23,0,0,44,0,0,-0.7
748,308.36100000000005,44.760000000000005,1,1,102,6,1,-2.3
749,154.253,20.23,2,2,64,0,0,-2.32
750,288.431,37.3,4,4,116,0,1,-4.02
751,100.205,0.0,0,0,44,0,0,-4.53
752,144.17299999999997,20.23,2,2,54,10,1,-2.22
753,112.216,0.0,1,1,48,0,0,-4.3
756,340.5070000000001,34.14,4,4,136,0,1,-5.27
757,114.188,17.07,0,0,48,0,0,-1.45
758,183.169,55.4,0,0,60,0,2,0.54
760,149.149,46.17,2,2,56,0,2,-2.932
761,380.662,118.36,2,2,112,6,0,-2.68
762,70.13499999999999,0.0,0,0,30,0,0,-2.56
763,120.195,0.0,1,1,48,6,0,-3.31
764,197.448,20.23,1,1,54,6,1,-2.21
766,116.20399999999998,20.23,0,0,50,0,0,-0.98
767,114.232,0.0,0,0,50,0,0,-5.24
768,178.23399999999995,0.0,3,3,66,14,0,-6.35
769,108.14399999999998,38.05,1,1,42,6,1,0.07
770,58.08,17.07,0,0,24,0,0,0.58
771,112.216,0.0,1,1,48,0,0,-4.15
772,208.217,75.27000000000001,1,1,80,0,3,-2.077
773,119.378,0.0,0,0,26,0,0,-1.17
774,128.15599999999998,45.75,1,1,42,6,1,-2.273
775,328.843,32.34,3,3,120,12,4,-5.915
776,96.17300000000002,0.0,1,1,40,0,0,-3.27
777,128.21499999999995,17.07,0,0,54,0,0,-2.13
778,260.24499999999995,61.81,3,3,98,13,3,-3.0210000000000004
779,226.27599999999995,75.27000000000001,1,1,90,0,3,-2.658
781,100.161,17.07,0,0,42,0,0,-1.52
782,102.177,9.23,0,0,44,0,0,-1.62
784,197.448,20.23,1,1,54,6,1,-2.64
785,60.056,69.11,0,0,24,0,3,0.96
786,68.11899999999999,0.0,0,0,28,0,0,-1.64
787,235.906,0.0,1,1,42,6,0,-3.54
789,135.16599999999997,29.1,1,1,52,6,3,-1.33
791,137.14200000000002,68.01,1,1,52,6,3,0.009
792,354.8749999999999,20.23,3,3,94,0,0,-5.46
793,116.15999999999998,26.3,0,0,48,0,2,-1.52
794,120.15099999999995,17.07,1,1,46,6,2,-1.28
796,182.156,44.760000000000005,0,0,68,0,0,0.43
797,152.237,17.07,2,2,62,0,0,-1.85
798,162.152,60.790000000000006,2,2,60,10,1,-0.91
799,338.876,0.0,3,3,88,0,0,-5.64
800,89.094,43.14,0,0,36,0,2,-0.62
803,179.21899999999997,52.32,1,1,70,6,4,-2.452
804,223.165,73.86,0,0,82,0,5,0.6509999999999999
805,99.089,46.17,1,1,38,0,2,0.3
806,100.20499999999998,0.0,0,0,44,0,0,-4.28
807,316.4270000000001,84.42,1,1,120,6,2,-4.16
808,270.361,32.260000000000005,3,3,96,12,1,-4.634
809,239.274,29.54,3,3,90,12,1,-3.68
811,96.173,0.0,0,0,40,0,0,-3.01
812,244.28999999999996,39.44,2,2,94,10,2,-4.314
813,268.3589999999999,0.0,5,5,100,18,0,-7.92
814,150.177,26.3,1,1,58,6,3,-2.32
815,92.569,0.0,0,0,32,0,0,-2.0
816,296.41,40.46,4,4,116,6,1,-4.3
817,214.349,26.3,0,0,90,0,2,-4.69
818,118.245,0.0,0,0,44,0,0,-2.58
820,151.047,0.0,0,0,38,0,0,-3.08
821,98.18899999999998,0.0,0,0,42,0,0,-3.82
822,171.15599999999998,81.19,1,1,66,5,3,-1.26
823,140.26999999999998,0.0,1,1,60,0,0,-6.08
824,360.88200000000006,0.0,2,2,94,12,1,-7.42
825,198.222,75.27000000000001,1,1,78,0,3,-2.148
826,133.405,0.0,0,0,32,0,0,-2.0
827,214.652,41.57,1,1,76,6,4,-2.57
828,196.206,75.27,2,2,76,0,3,-3.06
829,211.26099999999997,46.61,1,1,84,0,5,-0.85
830,171.03700000000003,0.0,1,1,42,6,0,-3.19
831,74.123,9.23,0,0,32,0,0,-0.09
832,330.17100000000005,69.72,2,2,112,6,6,-4.376
833,335.28200000000004,89.51999999999998,1,1,128,6,7,-5.53
834,136.194,20.23,1,1,54,6,1,-2.05
836,238.455,0.0,1,1,42,6,0,-4.03
837,228.679,41.57,1,1,82,6,5,-2.564
838,211.69200000000004,20.31,1,1,76,6,3,-2.48
839,104.15199999999996,0.0,1,1,40,6,2,-2.82
840,76.095,18.46,0,0,32,0,0,0.48
841,106.168,0.0,1,1,42,6,0,-2.8
842,74.12299999999999,20.23,0,0,32,0,0,0.47
843,110.11199999999998,40.46,1,1,42,6,2,-0.17
844,288.387,60.69,4,4,114,6,1,-4.955
846,100.077,58.2,1,1,38,0,2,-0.4
847,194.27399999999992,40.46,1,1,78,6,2,-2.59
848,162.27899999999997,17.07,0,0,52,0,0,-0.83
849,362.7710000000001,57.9,2,2,120,10,2,-5.382000000000001
850,256.348,0.0,4,4,96,18,0,-7.01
853,231.893,20.23,1,1,60,6,1,-3.1
854,147.004,0.0,1,1,42,6,0,-3.04
855,354.491,0.0,2,2,100,12,0,-7.15
856,102.13299999999998,26.3,0,0,42,0,2,-1.01
857,124.208,0.0,1,1,42,6,0,-2.39
858,322.29,58.120000000000005,3,3,120,12,1,-4.207
859,86.178,0.0,0,0,38,0,0,-3.84
860,137.138,39.19,1,1,52,6,3,-0.46
862,360.88200000000006,0.0,2,2,94,12,1,-7.82
863,286.11400000000003,46.61,2,2,94,6,3,-4.925
864,240.698,86.52,1,1,86,6,2,-3.15
866,266.34,40.46,2,2,102,12,7,-4.95
868,107.15599999999998,12.89,1,1,42,6,0,0.51
869,380.784,44.760000000000005,0,0,80,0,0,-2.28
871,360.88200000000006,0.0,2,2,94,12,1,-8.71
872,210.285,48.39000000000001,1,1,84,6,3,-3.364
873,116.20399999999998,20.23,0,0,50,0,0,-0.92
874,210.233,75.27,2,2,82,0,3,-3.168
876,122.16699999999996,20.23,1,1,48,6,1,-1.4
877,258.104,38.33,1,1,84,6,4,-4.37
878,169.611,29.1,1,1,58,6,3,-2.843
879,395.3270000000001,0.0,2,2,100,12,1,-8.94
880,86.17799999999998,0.0,0,0,38,0,0,-3.55
881,107.15599999999998,12.03,1,1,42,6,1,-1.28
882,68.119,0.0,0,0,28,0,0,-2.09
883,404.5030000000002,100.90000000000002,4,4,160,0,3,-4.88
884,198.134,106.51000000000002,1,1,74,6,7,-1.456
885,321.163,61.690000000000005,3,3,106,12,2,-3.604
886,128.558,20.23,1,1,42,6,1,-0.7
887,191.455,0.0,1,1,42,6,0,-3.21
888,295.72900000000004,118.69,2,2,92,6,0,-3.05
889,170.16799999999998,75.27000000000001,1,1,66,0,3,-1.228
890,138.16599999999997,29.46,1,1,54,6,1,-0.7
892,130.23099999999997,20.23,0,0,56,0,0,-1.98
893,421.7340000000001,89.51999999999998,2,2,150,12,7,-6.78
894,229.71500000000003,62.73,1,1,84,6,2,-4.43
895,102.177,20.23,0,0,44,0,0,-1.11
896,116.20399999999998,20.23,0,0,50,0,0,-1.08
897,106.16799999999996,0.0,1,1,42,6,0,-2.77
898,224.26,75.27000000000001,1,1,88,0,3,-2.253
899,373.3209999999999,0.0,3,3,94,0,0,-6.317
900,303.156,75.27000000000001,1,1,94,0,3,-2.647
901,349.43000000000006,59.32000000000001,3,3,134,12,4,-6.025
902,310.47800000000007,35.53,0,0,128,0,6,-5.19
903,102.133,26.3,0,0,42,0,2,-0.66
904,241.364,62.73,1,1,90,6,2,-4.1
905,236.702,32.34,1,1,84,6,4,-3.9
906,156.22799999999998,0.0,2,2,60,10,0,-4.72
907,257.547,0.0,2,2,76,12,1,-6.25
908,360.88200000000006,0.0,2,2,94,12,1,-7.39
909,84.082,88.19,0,0,32,0,5,-0.31
910,164.375,43.14,0,0,42,0,2,-2.0
911,223.102,0.0,2,2,70,12,1,-5.21
912,136.14999999999998,26.3,1,1,52,6,3,-1.49
913,180.163,72.24000000000001,1,1,68,6,6,-2.692
914,158.241,26.3,0,0,66,0,2,-2.74
915,151.165,49.33,1,1,58,6,4,-1.03
918,151.129,100.45,2,2,56,9,2,-3.583
919,74.07900000000001,26.3,0,0,30,0,2,0.46
920,290.44699999999995,37.3,4,4,118,0,0,-4.743
921,100.161,20.23,0,0,42,0,0,-0.59
923,130.231,9.23,0,0,56,0,0,-1.85
924,186.339,20.23,0,0,80,0,0,-4.8
925,313.36100000000005,81.59000000000002,3,3,120,12,2,-3.36
926,102.17699999999998,20.23,0,0,44,0,0,-0.49
927,129.09399999999997,71.77,1,1,48,6,2,-0.972
928,293.40700000000004,38.77,1,1,118,6,5,-3.84
929,130.231,20.23,0,0,56,0,0,-1.72
930,162.27599999999998,0.0,1,1,66,6,0,-5.23
931,150.22099999999998,20.23,1,1,60,6,1,-2.22
933,291.26500000000004,70.83000000000001,1,1,100,6,4,-4.66
934,16.043,0.0,0,0,8,0,0,-0.9
936,173.171,43.14,2,2,64,10,3,-3.54
937,100.161,17.07,0,0,42,0,0,-0.67
938,151.129,100.71,2,2,56,9,2,-3.401
940,61.040000000000006,43.14,0,0,24,0,2,0.26
941,304.67,20.31,0,0,94,0,2,-4.88
942,82.14599999999999,0.0,0,0,34,0,0,-2.68
944,286.415,34.14,4,4,114,0,1,-3.69
945,84.16199999999999,0.0,0,0,36,0,0,-3.23
946,354.8150000000001,109.48999999999998,2,2,122,12,5,-3.79
947,112.216,0.0,1,1,48,0,0,-4.25
948,142.242,17.07,0,0,60,0,0,-2.58
949,295.298,84.07999999999998,3,3,110,15,7,-3.88
950,213.664,38.33,1,1,76,6,4,-3.38
951,288.73800000000006,49.330000000000005,3,3,102,12,1,-4.114
952,201.225,38.33,2,2,76,10,4,-3.224
953,26.038,0.0,0,0,10,0,0,0.29
954,107.15599999999998,12.89,1,1,42,6,0,0.38
955,80.12999999999998,0.0,1,1,32,0,0,-2.06
956,329.3800000000001,65.07000000000001,0,0,112,0,5,-2.518
957,122.16699999999996,20.23,1,1,48,6,0,-0.92
958,112.987,0.0,0,0,32,0,0,-1.6
959,126.19899999999998,17.07,0,0,52,0,3,-2.46
960,274.413,18.46,0,0,86,0,0,-4.23
961,344.4950000000001,43.370000000000005,4,4,138,0,3,-5.284
962,257.547,0.0,2,2,76,12,1,-6.14
963,310.687,58.2,2,2,108,12,7,-6.02
964,289.545,29.46,2,2,88,12,3,-4.46
966,346.46700000000016,74.6,4,4,138,0,1,-3.24
967,120.19499999999998,0.0,1,1,48,6,0,-3.4
970,291.992,0.0,2,2,82,12,1,-7.39
971,156.141,75.27000000000001,1,1,60,0,3,-1.742
972,169.993,0.0,0,0,26,0,0,-2.09
973,168.10799999999995,86.28,1,1,62,6,6,-3.1
974,86.13399999999999,17.07,0,0,36,0,0,-0.12
976,154.253,9.23,3,3,64,0,0,-1.74
977,189.243,30.19,3,3,64,12,0,-2.07
978,128.21499999999995,17.07,0,0,54,0,0,-2.05
979,172.268,26.3,0,0,72,0,2,-3.38
980,114.094,0.0,1,1,42,6,0,-1.97
981,258.233,83.55000000000001,3,3,96,6,4,-2.676
982,335.28200000000004,89.51999999999998,1,1,128,6,7,-5.68
983,46.069,20.23,0,0,20,0,0,1.1
984,182.179,75.27,2,2,70,0,3,-2.349
985,236.271,67.42999999999999,1,1,92,6,6,-1.83
986,350.4580000000001,35.53,3,3,136,12,4,-5.24
987,198.30999999999992,32.34,1,1,82,0,3,-2.218
989,193.128,0.0,0,0,56,0,0,-5.06
990,290.323,85.25,2,2,112,9,7,-4.883
991,231.299,30.17,2,2,90,11,3,-0.364
992,88.15,20.23,0,0,38,0,0,-0.24
993,137.138,43.14,1,1,52,6,3,-2.49
994,102.177,20.23,0,0,44,0,0,-1.14
995,314.42500000000007,57.53,4,4,124,0,1,-4.57
996,428.12000000000006,46.53,2,2,116,12,2,-4.93
997,221.647,60.91,2,2,76,12,3,-2.878
998,88.14999999999998,20.23,0,0,38,0,0,0.15
999,108.14,20.23,1,1,42,6,1,-0.73
1000,74.07900000000001,26.3,0,0,30,0,2,0.15
1001,121.18299999999996,3.24,1,1,48,6,1,-1.92
1002,138.254,0.0,2,2,58,0,0,-5.19
1003,90.191,0.0,0,0,32,0,0,-2.18
1005,165.834,0.0,0,0,36,0,0,-2.54
1006,86.134,17.07,0,0,36,0,0,-0.28
1007,53.06399999999999,23.79,0,0,20,0,3,0.15
1009,100.161,17.07,0,0,42,0,0,-0.8
1010,225.296,71.96000000000001,1,1,90,6,3,-3.239
1011,114.232,0.0,0,0,50,0,0,-5.16
1012,187.862,0.0,0,0,26,0,0,-1.68
1013,193.246,38.33,1,1,76,6,4,-2.863
1014,214.206,88.37,2,2,74,5,5,-3.22
1016,142.58499999999998,9.23,1,1,48,6,1,-2.46
1017,366.0,27.69,1,1,90,6,1,-6.09
1018,332.57000000000005,63.24,2,2,104,6,5,-5.03
1019,320.04600000000005,0.0,2,2,94,12,0,-7.2
1020,86.09,26.3,0,0,34,0,4,-0.22
1021,290.75,41.57000000000001,2,2,104,12,6,-4.89
1023,134.22199999999998,0.0,1,1,54,6,0,-3.77
1024,163.003,20.23,1,1,48,6,1,-1.79
1027,254.24599999999995,102.28,2,2,98,9,2,-0.17
1029,116.204,20.23,0,0,50,0,0,-0.85
1030,306.51500000000004,20.23,5,5,118,0,0,-5.41
1031,235.906,0.0,1,1,42,6,0,-3.5
1032,197.448,20.23,1,1,54,6,1,-2.34
1034,255.292,20.31,3,3,96,12,1,-4.799
1035,114.18799999999996,17.07,0,0,48,0,0,-1.3
1036,238.287,75.27000000000001,1,1,94,0,3,-2.593
1037,262.261,75.99000000000001,3,3,100,0,3,-2.943
1038,194.194,61.82,2,2,74,9,2,-0.8759999999999999
1040,122.167,20.23,1,1,48,6,1,-1.38
1042,360.88200000000006,0.0,2,2,94,12,1,-8.56
1043,122.12699999999997,55.98,1,1,46,6,3,0.61
1044,110.18099999999995,0.0,1,1,36,6,0,-2.12
1045,179.219,38.33,1,1,70,6,4,-2.5810000000000004
1046,409.7819999999999,0.0,3,3,102,0,0,-6.86
1047,94.204,0.0,0,0,26,0,0,-1.44
1048,121.13899999999995,43.09,1,1,46,6,3,-0.96
1049,191.455,0.0,1,1,42,6,0,-3.19
1051,116.20399999999998,20.23,0,0,50,0,0,-1.47
1052,268.32,58.120000000000005,3,3,102,12,1,-4.553999999999999
1053,163.003,20.23,1,1,48,6,1,-1.34
1054,192.261,0.0,3,3,72,14,0,-5.85
1055,130.231,20.23,0,0,56,0,0,-2.11
1056,270.225,20.31,0,0,88,0,2,-4.2860000000000005
1057,92.141,0.0,1,1,36,6,0,-2.21
1058,230.909,12.89,1,1,60,6,0,-3.76
1059,96.173,0.0,1,1,40,0,0,-3.18
1060,240.444,6.48,0,0,70,0,4,-3.9
1061,352.7700000000001,71.06,3,3,128,6,5,-3.2460000000000004
1062,158.285,20.23,0,0,68,0,0,-3.63
1063,100.20499999999998,0.0,0,0,44,0,0,-4.23
1064,287.343,64.63000000000001,0,0,96,0,2,1.144
1065,231.893,20.23,1,1,60,6,1,-3.15
1066,72.107,17.07,0,0,30,0,0,-0.01
1067,434.5040000000003,100.9,4,4,170,0,3,-4.9
1068,58.124,0.0,0,0,26,0,0,-2.57
1069,124.13899999999995,29.46,1,1,48,6,2,-1.96
1070,376.4680000000001,74.6,4,4,148,0,1,-4.099
1071,202.295,0.0,0,0,44,0,0,-2.6
1072,222.23999999999995,52.60000000000001,1,1,86,6,6,-2.35
1073,74.12299999999999,20.23,0,0,32,0,0,0.1
1074,134.22199999999998,0.0,1,1,54,6,0,-4.12
1075,267.835,0.0,0,0,20,0,0,-2.34
1076,116.204,20.23,0,0,50,0,0,-1.4
1077,130.18699999999998,26.3,0,0,54,0,2,-1.89
1078,231.893,20.23,1,1,60,6,1,-3.37
1079,120.19499999999996,0.0,1,1,48,6,0,-3.37
1080,170.92000000000002,0.0,0,0,50,0,0,-2.74
1081,70.09100000000001,17.07,0,0,28,0,3,0.32
1082,116.164,23.550000000000004,0,0,48,0,3,0.94
1083,134.22199999999998,0.0,1,1,54,6,0,-4.59
1084,340.4630000000001,43.370000000000005,4,4,134,0,3,-4.8
1085,299.28800000000007,55.84,2,2,102,6,2,-3.35
1086,213.236,49.33,2,2,80,12,5,-3.59
1087,223.794,3.24,0,0,70,0,2,-3.39
1088,64.515,0.0,0,0,20,0,0,-1.06
1089,310.297,75.27000000000001,1,1,112,6,4,-3.24
1090,285.343,38.77,3,3,110,6,7,-3.46
1091,70.135,0.0,0,0,30,0,0,-2.54
1092,218.322,50.69,0,0,82,0,5,-1.62
1093,224.26,75.27,2,2,88,0,3,-2.982
1094,263.381,38.33,1,1,106,6,4,-4.24
1096,182.222,17.07,2,2,68,12,3,-3.12
1099,102.177,20.23,0,0,44,0,0,-1.17
1100,95.10099999999998,33.120000000000005,1,1,36,6,1,1.02
1101,96.94400000000002,0.0,0,0,24,0,0,-1.3
1102,84.162,0.0,1,1,36,0,0,-3.3
1103,102.17699999999998,20.23,0,0,44,0,0,-0.8
1104,254.289,55.56,3,3,96,12,2,-3.928
1105,88.14999999999999,20.23,0,0,38,0,0,-0.4
1106,293.754,57.010000000000005,2,2,106,11,1,-3.61
1107,231.255,67.16,2,2,88,11,3,-2.461
1108,42.081,0.0,0,0,18,0,0,-1.08
1109,269.127,40.46,2,2,88,12,2,-3.953
1110,300.314,76.66,2,2,114,12,9,-4.632
1111,208.216,34.14,3,3,76,12,2,-5.19
1112,130.231,20.23,0,0,56,0,0,-2.09
1113,267.306,72.47,2,2,96,6,4,-2.281
1114,134.22199999999998,0.0,1,1,54,6,0,-4.06
1115,114.06,75.27,1,1,42,0,3,-0.4
1117,338.7720000000001,109.49,3,3,114,12,1,-3.451
1118,116.15999999999998,26.3,0,0,48,0,2,-1.21
1119,100.20499999999998,0.0,0,0,44,0,0,-4.36
1120,395.3270000000001,0.0,2,2,100,12,1,-7.66
1121,128.13399999999996,47.58,1,1,46,6,4,-2.38
1122,137.138,43.14,1,1,52,6,3,-2.44
1123,197.381,0.0,0,0,44,0,0,-1.71
1124,219.266,70.99999999999999,0,0,80,0,8,0.106
1125,246.359,18.46,0,0,74,0,0,-3.091
1126,72.151,0.0,0,0,32,0,0,-3.18
1127,365.96400000000006,44.760000000000005,1,1,106,6,3,-4.522
